Cluster Number,icanumber,,Cluster Name 100
1,0,,DMN-RSC
2,1,,DMN-PCC-MID
3,2,,DMN-MPF-VENTRAL
4,3,,DMN-MPF-MID
5,4,,ATTENTION-DORSAL-IPS-MID
6,5,,MOTOR-VENTRAL-SUBCENTRAL
7,6,,VISUAL-LINGUAL-ANTERIOR
8,7,,ATTENTION-DORSAL-IPS-MEDIAL
9,8,,DMN-PCC-POSTERIOR
10,9,,DMN-PCC-ANTERIOR
11,10,,UNKNOWN
12,11,,NOISE
13,12,,ATTENTION-DORSAL-IPS-LATERAL-RIGHT
14,13,,MOTOR-VENTRAL
15,14,,EXECUTIVE-POSTERIOR-LEFT
16,15,,NOISE
17,16,,MOTOR-DORSAL-LEG
18,17,,SENSORY-DORSAL-HAND-RIGHT
19,18,,NOISE
20,19,,VISUAL-CUNEUS-SUPERIOR-LATERAL-POSTERIOR
21,20,,EXECUTIVE-POSTERIOR-RIGHT
22,21,,VISUAL-CUNEUS-MEDIAL
23,22,,SENSORY-DORSAL-HAND-LEFT
24,23,,DMN-MPF-DORSAL
25,24,,NOISE
26,25,,NOISE
27,26,,NOISE
28,27,,SENSORY-DORSAL-MEDIAL
29,28,,VISUAL-FUSIFORM-POSTERIOR
30,29,,SALIENCE-INSULA-ANTERIOR
31,30,,SALIENCE-ACC-MID
32,31,,NOISE
33,32,,ATTENTION-FEF
34,33,,ATTENTION-DORSAL-IPS-LATERAL-LEFT
35,34,,DMN-CINGULATE-MID
36,35,,NOISE
37,36,,AUDITORY-RIGHT
38,37,,NOISE
39,38,,DMN-IPL-LEFT
40,39,,NOISE
41,40,,COGNITIVE-MFG
42,41,,BASALGANGLIA-LENTIFORM
43,42,,LANG-BROCA
44,43,,SALIENCE-INSULA-POSTERIOR
45,44,,NOISE
46,45,,NOISE
47,46,,UNKNOWN
48,47,???,ATTENTION-DORSAL-ANTERIOR-RIGHT
49,48,,SALIENCE-ACC-ANTERIOR
50,49,,NOISE
51,50,,EXECUTIVE-ANTERIOR-VENTRAL
52,51,,NOISE
53,52,,MOTOR-DORSAL-LEG
54,53,,DMN-IPL-RIGHT
55,54,,NOISE
56,55,,VISUAL-CUNEUS-SUPERIOR-LATERAL-ANTERIOR-LEFT
57,56,,DMN-HIPPOCAMPUS
58,57,,DMN-PARAHIPPOCAMPAL
59,58,,CEREBELLAR-SUPERIOR-MEDIAL
60,59,,NOISE
61,60,,BASALGANGLIA-VENTRAL-NA
62,61,,AUDITORY-LEFT
63,62,,MOTOR-DORSAL-HAND
64,63,,LANGUAGE-WERNICKE
65,64,,UNKNOWN
66,65,,THALAMUS-MEDIAL
67,66,,NOISE
68,67,,UNKNOWN
69,68,,VISUAL-LINGUAL-POSTERIOR
70,69,,UNKNOWN
71,70,,NOISE
72,71,,VISUAL-FUSIFORM-ANTERIOR
73,72,,UNKNOWN
74,73,,NOISE
75,74,,VISUAL-LATERAL-INFERIOR-LEFT
76,75,,NOISE
77,76,,VISUAL-LATERAL-SUPERIOR
78,77,,NOISE
79,78,,NOISE
80,79,,NOISE
81,80,,NOISE
82,81,,TEMPORAL-INFERIOR-LEFT
83,82,,NOISE
84,83,,NOISE
85,84,,NOISE
86,85,,NOISE
87,86,,BASALGANGLIA-CAUDATE
88,87,,VISUAL-LATERAL-INFERIOR-RIGHT
89,88,,CEREBELLAR-SUPERIOR-MID-POSTERIOR
90,89,,NOISE
91,90,,NOISE
92,91,,CEREBELLAR-LATERAL-RIGHT
93,92,,NOISE
94,93,,CEREBELLAR-SUPERIOR-MID-ANTERIOR
95,94,,NOISE
96,95,,CEREBELLAR-LATERAL-RIGHT
97,96,,CEREBELLAR-LATERAL-LEFT-SUPERIOR
98,97,,NOISE
99,98,,HYPOTHALAMUS
100,99,,NOISE
